Date,Postcode,Latitude,Longitude,Email,First Name,Last Name,Interaction,Sector
2024-07-20,GL3,51.86451,-2.17719,william.caspari@gmail.com,William,Caspari,Webinar,Software Engineering
2024-07-25,HA8,51.61094,-0.27255,mary.taylor@gmail.com,Mary,Taylor,Email Correspondence,Healthcare
2024-05-26,SE19,51.41735,-0.08424,angela.phillips@gmail.com,Angela,Phillips,Email Correspondence,Finance
2024-05-24,DG11,55.11331,-3.33584,tiffany.chavez@gmail.com,Tiffany,Chavez,Webinar,B2B Marketing
2024-06-01,DY5,52.48049,-2.12223,lane.travers@gmail.com,Lane,Travers,Email Correspondence,Software Engineering
2024-04-05,BT54,55.19997,-6.25787,antonio.chase@gmail.com,Antonio,Chase,Workshop,Healthcare
2024-05-20,M43,53.48378,-2.1477,jacqueline.slonaker@gmail.com,Jacqueline,Slonaker,Email Correspondence,Finance
2024-12-17,BD19,53.72713,-1.712,linda.lewis@gmail.com,Linda,Lewis,Webinar,Healthcare
2024-05-15,RM4,51.63255,0.16038,lawrence.holland@gmail.com,Lawrence,Holland,Email Correspondence,B2B Marketing
2024-11-18,IV8,57.55419,-4.26477,rhonda.moreno@gmail.com,Rhonda,Moreno,Email Correspondence,Education
2024-04-18,CT19,51.08785,1.1704,sherry.coyle@gmail.com,Sherry,Coyle,Webinar,B2B Marketing
2024-09-21,NR31,52.57614,1.71087,james.holder@gmail.com,James,Holder,Networking Event,B2B Marketing
2024-03-03,TD15,55.74699,-2.01275,dorothy.yingling@gmail.com,Dorothy,Yingling,1-2-1 Conversation,Healthcare
2024-06-16,L40,53.60227,-2.84032,karin.perdue@gmail.com,Karin,Perdue,Networking Event,Healthcare
2024-05-14,PL30,50.49992,-4.72743,jean.stumbaugh@gmail.com,Jean,Stumbaugh,Webinar,Healthcare
2024-08-05,DN11,53.45158,-1.08284,margarita.jacob@gmail.com,Margarita,Jacob,Email Correspondence,Data Science
2024-01-31,EN1,51.6536,-0.06707,james.moore@gmail.com,James,Moore,Networking Event,Healthcare
